uidp,date,study_cycle,adetourtime,a_early,a_late,route_FE,is_long_route,has_long_route_pre,high_dttime,acharge_weekmean,max_cycle
L0202100848,2017-00-14,0,8.1999998,1,0,2,0.07644659307704493,1,1,96,4
L0202100848,2017-00-14,0,8.1999998,1,0,1,0.07644659307704493,1,1,96,4
L0202100848,2017-00-15,0,8.1999998,1,0,2,0.07644659307704493,1,1,96,4
L0202100848,2017-00-15,0,8.1999998,1,0,1,0.07644659307704493,1,1,96,4
L0202100848,2017-00-16,0,8.1999998,1,0,2,0.07644659307704493,1,1,96,4
L0202100848,2017-00-16,0,8.1999998,1,0,1,0.07644659307704493,1,1,96,4
L0202100848,2017-00-17,0,8.1999998,1,0,2,0.07644659307704493,1,1,96,4
L0202100848,2017-00-21,0,8.1999998,1,0,2,0.07644659307704493,1,1,96,4
L0202100848,2017-00-22,0,8.1999998,1,0,2,0.07644659307704493,1,1,96,4
L0202100848,2017-00-23,0,8.1999998,1,0,2,0.07644659307704493,1,1,96,4
L0202100848,2017-00-24,0,8.1999998,1,0,2,0.07644659307704493,1,1,96,4
L0202100848,2017-00-24,0,8.1999998,1,0,1,0.07644659307704493,1,1,96,4
L0202100848,2017-00-27,0,8.1999998,1,0,1,0.07644659307704493,1,1,96,4
L0202100848,2017-00-28,0,8.1999998,1,0,2,0.07644659307704493,1,1,96,4
L0202100848,2017-00-01,0,8.1999998,1,0,2,0.07644659307704493,1,1,96,4
L0202100848,2017-00-01,0,8.1999998,1,0,1,0.07644659307704493,1,1,96,4
L0202100848,2017-00-02,0,8.1999998,1,0,1,0.07644659307704493,1,1,96,4
L0202100848,2017-00-03,0,8.1999998,1,0,2,0.07644659307704493,1,1,96,4
L0202100848,2017-00-03,0,8.1999998,1,0,1,0.07644659307704493,1,1,96,4
L0202100848,2017-00-06,0,8.1999998,1,0,2,0.07644659307704493,1,1,96,4
L0202100848,2017-00-06,0,8.1999998,1,0,1,0.07644659307704493,1,1,96,4
L0202100848,2017-00-07,0,8.1999998,1,0,2,0.07644659307704493,1,1,96,4
L0202100848,2017-00-09,0,8.1999998,1,0,2,0.07644659307704493,1,1,96,4
L0202100848,2017-00-09,0,8.1999998,1,0,1,0.07644659307704493,1,1,96,4
L0202100848,2017-00-10,0,8.1999998,1,0,2,0.07644659307704493,1,1,96,4
L0202100848,2017-00-10,0,8.1999998,1,0,1,0.07644659307704493,1,1,96,4
L0202100848,2017-00-14,0,8.1999998,1,0,2,0.07644659307704493,1,1,96,4
L0202100848,2017-00-14,0,8.1999998,1,0,1,0.07644659307704493,1,1,96,4
L0202100848,2017-00-15,0,8.1999998,1,0,2,0.07644659307704493,1,1,96,4
L0202100848,2017-00-15,0,8.1999998,1,0,1,0.07644659307704493,1,1,96,4
L0202100848,2017-00-17,0,8.1999998,1,0,2,0.07644659307704493,1,1,96,4
L0202100848,2017-00-17,0,8.1999998,1,0,1,0.07644659307704493,1,1,96,4
L0202100848,2017-00-20,1,8.1999998,1,0,2,0.1916367653503036,1,1,96,4
L0202100848,2017-00-20,1,8.1999998,1,0,1,0.1916367653503036,1,1,96,4
L0202100848,2017-00-21,1,8.1999998,1,0,2,0.1916367653503036,1,1,96,4
L0202100848,2017-00-22,1,8.1999998,1,0,2,0.1916367653503036,1,1,96,4
L0202100848,2017-00-24,1,8.1999998,1,0,2,0.1916367653503036,1,1,96,4
L0202100848,2017-00-27,2,8.1999998,1,0,2,0.14081269664795393,1,1,96,4
L0202100848,2017-00-27,2,8.1999998,1,0,1,0.14081269664795393,1,1,96,4
L0202100848,2017-00-28,2,8.1999998,1,0,2,0.14081269664795393,1,1,96,4
L0202100848,2017-00-30,2,8.1999998,1,0,2,0.14081269664795393,1,1,96,4
L0202100848,2017-00-30,2,8.1999998,1,0,1,0.14081269664795393,1,1,96,4
L0202100848,2017-00-31,2,8.1999998,1,0,2,0.14081269664795393,1,1,96,4
L0202100848,2017-00-03,2,8.1999998,1,0,2,0.14081269664795393,1,1,96,4
L0202100848,2017-00-03,2,8.1999998,1,0,1,0.14081269664795393,1,1,96,4
L0202100848,2017-00-04,3,8.1999998,1,0,2,0.11241316216136599,1,1,96,4
L0202100848,2017-00-05,3,8.1999998,1,0,2,0.11241316216136599,1,1,96,4
L0202100848,2017-00-07,3,8.1999998,1,0,2,0.11241316216136599,1,1,96,4
L0202100848,2017-00-07,3,8.1999998,1,0,1,0.11241316216136599,1,1,96,4
L0202100848,2017-00-10,3,8.1999998,1,0,2,0.11241316216136599,1,1,96,4
L0202100848,2017-00-11,4,8.1999998,1,0,2,0.09654403598458605,1,1,96,4
L0202100848,2017-00-12,4,8.1999998,1,0,2,0.09654403598458605,1,1,96,4
L0202100848,2017-00-12,4,8.1999998,1,0,1,0.09654403598458605,1,1,96,4
L0202100848,2017-00-13,4,8.1999998,1,0,2,0.09654403598458605,1,1,96,4
L0202100848,2017-00-13,4,8.1999998,1,0,1,0.09654403598458605,1,1,96,4
L0202100848,2017-00-14,4,8.1999998,1,0,2,0.09654403598458605,1,1,96,4
